pdf_name,page,code,keyword,context,validated,relevant,confirmed_code,notes
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",2,Code 2.2: Inklusion & Partizipation,inklusiv,".6 STEOP – Studieneingangs - und Orientierungsphase  ................................ ................................ ...........  21 
5.7 Pädagogisch Praktische Studien – Beschr eibung des Konzepts inklusive Nachweis der erforderlichen 
ECTS -AP ................................ ................................ ................................ ................................ ....................  22 
5.",True,nein,Code 2.2: Inklusion & Partizipation,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",3,Code 2.1: Diversität & Heterogenität,Diversität,"...... .............................  101 
6.7.2.24  B-5-6 Pädagogisch Praktische Studien 5  ................................ ................................ ..................  103 
6.7.2.25  B-6-2 Diversität, Inklusion und Tran sition  ................................ ................................ ..................  104 
6.7.2.26  B-6-3 Das Spiel im inklusiven Handlungsfeld  .........................",True,nein,Code 2.1: Diversität & Heterogenität,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",3,Code 2.1: Diversität & Heterogenität,Vielfalt,"nd Kreativität  ................................ ................................ ................................ .... 97 
6.7.2.22  B-5-5-1 Inklusive Pädagogik mit Fokus religiös -weltanschaulicher Vielfalt  ................................ . 99 
6.7.2.23  B-5-5-2 Vertiefung Leadership: Führen und Leiten in elementarpädagogischen 
Bildungseinrichtungen  ................................ .................",True,nein,Code 2.1: Diversität & Heterogenität,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",3,Code 2.1: Diversität & Heterogenität,sozial,"............................ .... 77 
6.7.2.11  B-3-4 Musik – Ausdruck – Theater  ................................ ................................ ..............................  79 
6.7.2.12  B-3-5 Sozial -emotionale Entwicklung  ................................ ................................ ..........................  81 
6.7.2.13  B-3-6 Pädagogisch Praktische Studien 3  ..........................",True,nein,Code 2.1: Diversität & Heterogenität,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",3,Code 2.2: Inklusion & Partizipation,Inklusion,"........................  101 
6.7.2.24  B-5-6 Pädagogisch Praktische Studien 5  ................................ ................................ ..................  103 
6.7.2.25  B-6-2 Diversität, Inklusion und Tran sition  ................................ ................................ ..................  104 
6.7.2.26  B-6-3 Das Spiel im inklusiven Handlungsfeld  ................................ ...",True,nein,Code 2.2: Inklusion & Partizipation,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",3,Code 2.2: Inklusion & Partizipation,inklusive Pädagogik,"..................... .................  86 
6.7.2.16  B-4-4 Sprache, Mehrsprachigkeit und Literacy 2  ................................ ................................ .........  88 
6.7.2.17  B-4-5 Inklusive Pädagogik mit Fokus Behinderung  ................................ ................................ ..... 90 
6.7.2.18  B-4-6 Pädagogisch Praktische Studien 4  ................................ .................",True,nein,Code 2.2: Inklusion & Partizipation,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",3,Code 2.2: Inklusion & Partizipation,inklusive Pädagogik,"......... ................  95 
6.7.2.21  B-5-4 Rhythmik und Kreativität  ................................ ................................ ................................ .... 97 
6.7.2.22  B-5-5-1 Inklusive Pädagogik mit Fokus religiös -weltanschaulicher Vielfalt  ................................ . 99 
6.7.2.23  B-5-5-2 Vertiefung Leadership: Führen und Leiten in elementarpädagogischen 
Bildungseinrichtungen  ...",True,nein,Code 2.2: Inklusion & Partizipation,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",3,Code 2.2: Inklusion & Partizipation,inklusiv,"..................... .................  86 
6.7.2.16  B-4-4 Sprache, Mehrsprachigkeit und Literacy 2  ................................ ................................ .........  88 
6.7.2.17  B-4-5 Inklusive Pädagogik mit Fokus Behinderung  ................................ ................................ ..... 90 
6.7.2.18  B-4-6 Pädagogisch Praktische Studien 4  ................................ ......",True,nein,Code 2.2: Inklusion & Partizipation,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",3,Code 2.2: Inklusion & Partizipation,inklusiv,"......... ................  95 
6.7.2.21  B-5-4 Rhythmik und Kreativität  ................................ ................................ ................................ .... 97 
6.7.2.22  B-5-5-1 Inklusive Pädagogik mit Fokus religiös -weltanschaulicher Vielfalt  ................................ . 99 
6.7.2.23  B-5-5-2 Vertiefung Leadership: Führen und Leiten in elementarpädagogischen 
Bildungseinrich",True,nein,Code 2.2: Inklusion & Partizipation,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",3,Code 2.2: Inklusion & Partizipation,inklusiv,"..................  103 
6.7.2.25  B-6-2 Diversität, Inklusion und Tran sition  ................................ ................................ ..................  104 
6.7.2.26  B-6-3 Das Spiel im inklusiven Handlungsfeld  ................................ ................................ ............  106 
6.7.2.27  B-6-4 Sexualpädagogik und Gesundheitsbewusstsein  ................................ ....",True,nein,Code 2.2: Inklusion & Partizipation,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",3,Code 2.3: Individuelle Förderung & Differenzierung,Behinderung,".........  86 
6.7.2.16  B-4-4 Sprache, Mehrsprachigkeit und Literacy 2  ................................ ................................ .........  88 
6.7.2.17  B-4-5 Inklusive Pädagogik mit Fokus Behinderung  ................................ ................................ ..... 90 
6.7.2.18  B-4-6 Pädagogisch Praktische Studien 4  ................................ ................................ ......",True,nein,Code 2.3: Individuelle Förderung & Differenzierung,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",3,Code 2.5: Bildungspartnerschaft & Sozialraumorientierung,Bildungspartnerschaft,"....................  83 
6.7.2.14  B-4-2 Spiel und mathematische Bildung  ................................ ................................ ......................  84 
6.7.2.15  B-4-3 Transition und Bildungspartnerschaft ................................ ................................ .................  86 
6.7.2.16  B-4-4 Sprache, Mehrsprachigkeit und Literacy 2  ................................ ...................",True,nein,Code 2.5: Bildungspartnerschaft & Sozialraumorientierung,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",3,Code 2.5: Bildungspartnerschaft & Sozialraumorientierung,Transition,".............. ....................  83 
6.7.2.14  B-4-2 Spiel und mathematische Bildung  ................................ ................................ ......................  84 
6.7.2.15  B-4-3 Transition und Bildungspartnerschaft ................................ ................................ .................  86 
6.7.2.16  B-4-4 Sprache, Mehrsprachigkeit und Literacy 2  ..........................",True,nein,Code 2.5: Bildungspartnerschaft & Sozialraumorientierung,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",3,Code 2.6: Sprachliche Bildung & Mehrsprachigkeit,Mehrsprachigkeit,"...............  61 
6.7.2.2  B-1-4 Spielen bewegt  ................................ ................................ ................................ ...................  63 
6.7.2.3  B-1-5 Sprache, Mehrsprachigkeit und Literacy 1  ................................ ................................ .........  65 
6.7.2.4  B-1-6 Pädagogisch Praktische St udien 1  ................................ ...................",True,nein,Code 2.6: Sprachliche Bildung & Mehrsprachigkeit,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",3,Code 2.6: Sprachliche Bildung & Mehrsprachigkeit,Mehrsprachigkeit,".... ......................  84 
6.7.2.15  B-4-3 Transition und Bildungspartnerschaft ................................ ................................ .................  86 
6.7.2.16  B-4-4 Sprache, Mehrsprachigkeit und Literacy 2  ................................ ................................ .........  88 
6.7.2.17  B-4-5 Inklusive Pädagogik mit Fokus Behinderung  ................................ ..........",True,nein,Code 2.6: Sprachliche Bildung & Mehrsprachigkeit,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",3,Code 2.6: Sprachliche Bildung & Mehrsprachigkeit,Mehrsprachigkeit,"...................... ..... 90 
6.7.2.18  B-4-6 Pädagogisch Praktische Studien 4  ................................ ................................ ....................  92 
6.7.2.19  B-5-2 Sprache, Mehrsprachigkeit, Literacy und Spiel  ................................ ................................ .. 93 
6.7.2.20  B-5-3 Bewegung als Motor der Entwicklung  ................................ ....................",True,nein,Code 2.6: Sprachliche Bildung & Mehrsprachigkeit,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",3,Code 2.6: Sprachliche Bildung & Mehrsprachigkeit,mehrsprachig,"...............  61 
6.7.2.2  B-1-4 Spielen bewegt  ................................ ................................ ................................ ...................  63 
6.7.2.3  B-1-5 Sprache, Mehrsprachigkeit und Literacy 1  ................................ ................................ .........  65 
6.7.2.4  B-1-6 Pädagogisch Praktische St udien 1  ................................ ...............",True,nein,Code 2.6: Sprachliche Bildung & Mehrsprachigkeit,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",3,Code 2.6: Sprachliche Bildung & Mehrsprachigkeit,mehrsprachig,".... ......................  84 
6.7.2.15  B-4-3 Transition und Bildungspartnerschaft ................................ ................................ .................  86 
6.7.2.16  B-4-4 Sprache, Mehrsprachigkeit und Literacy 2  ................................ ................................ .........  88 
6.7.2.17  B-4-5 Inklusive Pädagogik mit Fokus Behinderung  ................................ ......",True,nein,Code 2.6: Sprachliche Bildung & Mehrsprachigkeit,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",3,Code 2.6: Sprachliche Bildung & Mehrsprachigkeit,mehrsprachig,"...................... ..... 90 
6.7.2.18  B-4-6 Pädagogisch Praktische Studien 4  ................................ ................................ ....................  92 
6.7.2.19  B-5-2 Sprache, Mehrsprachigkeit, Literacy und Spiel  ................................ ................................ .. 93 
6.7.2.20  B-5-3 Bewegung als Motor der Entwicklung  ................................ ................",True,nein,Code 2.6: Sprachliche Bildung & Mehrsprachigkeit,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",3,Code 2.6: Sprachliche Bildung & Mehrsprachigkeit,Literacy,"6.7.2.2  B-1-4 Spielen bewegt  ................................ ................................ ................................ ...................  63 
6.7.2.3  B-1-5 Sprache, Mehrsprachigkeit und Literacy 1  ................................ ................................ .........  65 
6.7.2.4  B-1-6 Pädagogisch Praktische St udien 1  ................................ ................................",True,nein,Code 2.6: Sprachliche Bildung & Mehrsprachigkeit,
