pdf_name,page,code,keyword,context,validated,relevant,confirmed_code,notes
"Cluster Süd Ost_Burgenland, Kärnten, Steiermark.pdf",4,Code 2.4: Abbau von Benachteiligung & Diskriminierung,disadvantaged,"(2013). Lernen sichtbar machen. Überarbeitet Ausgabe von „Visible Learning“ - W. Beywl und K. Zierer. Schneider Verlag 
Hohengehren GmbH; Heckman, J. Skill Formation and the Economics of Investing in Disadvantaged Children, in: Science, 312 (2006), S. 1900 -
1902; OECD: Education at a glance (2017). http:/ /www.oecd.org/edu/education -at-a-glance -19991487.htm ; Tietze, W. et al., NUBBEK. Nationale 
Untersuchu",True,nein,Code 2.4: Abbau von Benachteiligung & Diskriminierung,
"Cluster Süd Ost_Burgenland, Kärnten, Steiermark.pdf",5,Code 2.1: Diversität & Heterogenität,Diversität,"intergrund der Überlegung, dass bei Bedarf der Schwerpunkt z ur spezifischen 
Professionalisierung für Leitungsaufgaben im Ausmaß von 60 ECTS -Anrechnungspunkten auch durch weitere Schwerpunkte, z.B. Diversität und 
Inklusion, u.a. ergänzt werden kann. Im vorliegenden Curriculum stehen jedoch noch keine weiteren Schwerpunktsetzungen zur Wa hl.",True,nein,Code 2.1: Diversität & Heterogenität,
"Cluster Süd Ost_Burgenland, Kärnten, Steiermark.pdf",5,Code 2.2: Inklusion & Partizipation,Inklusion,"berlegung, dass bei Bedarf der Schwerpunkt z ur spezifischen 
Professionalisierung für Leitungsaufgaben im Ausmaß von 60 ECTS -Anrechnungspunkten auch durch weitere Schwerpunkte, z.B. Diversität und 
Inklusion, u.a. ergänzt werden kann. Im vorliegenden Curriculum stehen jedoch noch keine weiteren Schwerpunktsetzungen zur Wa hl.",True,nein,Code 2.2: Inklusion & Partizipation,
"Cluster Süd Ost_Burgenland, Kärnten, Steiermark.pdf",5,Code 2.4: Abbau von Benachteiligung & Diskriminierung,Zugang,"s, Forschung und Lehre sowie an einer 
Analyse des Berufsfeldes, internationalen Entwicklungstendenzen und den berufsfeldspezifischen 
Vorgaben der Länder und des Bundes. Auf einen interdisziplinären Zugang zum Forschungs - und 
Tätigkeitsfeld der frü hen Bildung sowie eine durchlässige Struktur, auch als Basis für nachfolgende 
Studien - und Promotionswege, wird im vorliegenden Curriculum konsequent ge",True,nein,Code 2.4: Abbau von Benachteiligung & Diskriminierung,
"Cluster Süd Ost_Burgenland, Kärnten, Steiermark.pdf",5,Code 2.4: Abbau von Benachteiligung & Diskriminierung,Zugang,"den Grundsätzen der 
Wirtschaftlichkeit, Sparsamkeit und Zweckmäßigkeit zu bewerten sein wird.  
2.4  Lehr -, Lern - und Beurteilungskonzept  
2.4.1  Allgemeine Leitlinien  
Der hochschuld idaktische Zugang basiert auf Konzepten des forschenden und dialogischen Lernens 
und zielt auf aktive Wissenskonstruktion und eigenverantwortlichen Kompetenzerwerb ab. Alle 
Studienfachbereiche tragen zu einer umfass",True,nein,Code 2.4: Abbau von Benachteiligung & Diskriminierung,
"Cluster Süd Ost_Burgenland, Kärnten, Steiermark.pdf",5,Code 2.7: Professionelle Haltung & Ethik,Werte,"fes erstellt, welcher an den öffentlichen un d 
privaten Pädagogischen Hochschulen des Entwicklungsverbundes Süd -Ost nach den Grundsätzen der 
Wirtschaftlichkeit, Sparsamkeit und Zweckmäßigkeit zu bewerten sein wird.  
2.4  Lehr -, Lern - und Beurteilungskonzept  
2.4.1  Allgemeine Leitlinien  
Der hochschuld idaktische Zugang basiert auf Konzepten des forschenden und dialogischen Lernens 
und zielt a",True,nein,Code 2.7: Professionelle Haltung & Ethik,
"Cluster Süd Ost_Burgenland, Kärnten, Steiermark.pdf",5,Code 2.7: Professionelle Haltung & Ethik,Reflexion,"Peer Instruction 
oder Peer Coaching. Damit werden Selbststeuerungsprozesse und das Selbstmanagement aktiviert, die 
Eigenaktivität der Studieren den vielseitig und individualisierend unterstützt und Reflexion und 
Feedback -Kultur von Beginn an als Elemente eines dialogischen Lerndesigns erlebt. Durch das 
Einbeziehen der Professionserfahrung sowie durch Wahlmodule8 werden Möglichkeiten zur 
individuellen",True,nein,Code 2.7: Professionelle Haltung & Ethik,
"Cluster Süd Ost_Burgenland, Kärnten, Steiermark.pdf",6,Code 2.1: Diversität & Heterogenität,sozial,"können. Auf der 
Grundlage von Individualisierung und Differenzierung wird eine Lernkultur entwickelt, in der die 
Studierenden ausgehend von ihrer jeweiligen Lernbiografie ihre Potenziale sowohl im sozialen und 
emotionalen als a uch im kognitiven und kreativen Bereich entfalten können. Verschiedene 
Lernarrangements – Differenzlernen, dialogisches Lernen, das Erleben von Autonomie, Partizipation 
und",True,nein,Code 2.1: Diversität & Heterogenität,
"Cluster Süd Ost_Burgenland, Kärnten, Steiermark.pdf",6,Code 2.2: Inklusion & Partizipation,Partizipation,"e sowohl im sozialen und 
emotionalen als a uch im kognitiven und kreativen Bereich entfalten können. Verschiedene 
Lernarrangements – Differenzlernen, dialogisches Lernen, das Erleben von Autonomie, Partizipation 
und Mitbestimmung – unterstützen eine persönlichkeitsorientierte Professionsentwicklung  und 
ermöglichen das Bewusstwerden der eigenen Deutungs‐, Handlungs‐ und Emotionsmuster. Vor dem 
Hintergrund",True,nein,Code 2.2: Inklusion & Partizipation,
"Cluster Süd Ost_Burgenland, Kärnten, Steiermark.pdf",6,Code 2.2: Inklusion & Partizipation,Mitbestimmung,"n und 
emotionalen als a uch im kognitiven und kreativen Bereich entfalten können. Verschiedene 
Lernarrangements – Differenzlernen, dialogisches Lernen, das Erleben von Autonomie, Partizipation 
und Mitbestimmung – unterstützen eine persönlichkeitsorientierte Professionsentwicklung  und 
ermöglichen das Bewusstwerden der eigenen Deutungs‐, Handlungs‐ und Emotionsmuster. Vor dem 
Hintergrund der Theorie werden",True,nein,Code 2.2: Inklusion & Partizipation,
