pdf_name,page,code,keyword,context,validated,relevant,confirmed_code,notes
"Cluster West_Tirol, Vorarlberg, Edith Stein.pdf",3.0,Code 2.3: Individuelle Förderung & Differenzierung,Behinderung,........................... 22 4.9.2 Durchführung der Prüfungen ........................................................................................... 22 4.10 GLEICHSTELLUNG VON STUDIERENDEN MIT BEHINDERUNG ............................................................ 22 4.11 RECHTSSCHUTZ BEI PRÜFUNGEN UND NICHTIGERKLÄRUNG VON BEURTEILUNGEN .......................... 23 4.12 VERFASSEN DER BACHELORARBEIT,True,nein,Code 2.3: Individuelle Förderung & Differenzierung,
"Cluster West_Tirol, Vorarlberg, Edith Stein.pdf",3.0,Code 2.4: Abbau von Benachteiligung & Diskriminierung,Gleichstellung,............................................................... 22 4.9.2 Durchführung der Prüfungen ........................................................................................... 22 4.10 GLEICHSTELLUNG VON STUDIERENDEN MIT BEHINDERUNG ............................................................ 22 4.11 RECHTSSCHUTZ BEI PRÜFUNGEN UND NICHTIGERKLÄRUNG VON BEURTEILUNGEN .......................... 23 4,True,nein,Code 2.4: Abbau von Benachteiligung & Diskriminierung,
"Cluster West_Tirol, Vorarlberg, Edith Stein.pdf",5.0,Code 2.1: Diversität & Heterogenität,sozial,"ung und professioneller Weiterentwicklung eine besondere Bedeutung zugemessen wird.  Das Curriculum definiert unterschiedliche Zielsetzungen und gliedert sich inhaltlich in die Bereiche Bildungs- und Sozialwissenschaften (BSW), Elementarpädagogik und Elementardidaktik (EPD), Profession und Leadership (PL) sowie Pädagogisch Praktische Studien (PPS). Es wird darauf geachtet, dass Studierende durch das Bil",True,nein,Code 2.1: Diversität & Heterogenität,
"Cluster West_Tirol, Vorarlberg, Edith Stein.pdf",6.0,Code 2.1: Diversität & Heterogenität,sozial,"gischen Berufsfeldern. Es umfasst einen Arbeitsaufwand von 180 ECTS-Anrechnungspunkten. Gegenstand des Studiums ist die wissenschaftliche Qualifizierung von Elementarpädagog*innen durch bildungs- und sozialwissenschaftliche, fachwissenschaftliche, fachdidaktische, elementarpädagogische und -didaktische, persönlichkeits-orientierte und pädagogisch-praktische Studienangebote nach internationalem Standard.",True,nein,Code 2.1: Diversität & Heterogenität,
"Cluster West_Tirol, Vorarlberg, Edith Stein.pdf",7.0,Code 2.7: Professionelle Haltung & Ethik,Haltung,"zielt weiters darauf ab, dass Absolvent*innen in ihrem Berufsumfeld Bildungskooperationen professionell gestalten können, sich mit gesellschaftlichen Entwicklungen, der eigenen beruflichen Rolle und Haltung auseinandersetzen und sich in den Bereichen Leadership, Personal-, Organisations- und Teamentwicklung professionalisieren. Den Zielen der Pädagog*innenbildung in Österreich entsprechend, wird durch d",True,ja,Code 2.7: Professionelle Haltung & Ethik,
"Cluster West_Tirol, Vorarlberg, Edith Stein.pdf",8.0,Code 2.4: Abbau von Benachteiligung & Diskriminierung,Gleichstellung,"BildungsRahmenPlan sowie die weiteren pädagogischen Grundlagendokumente7 und die Schaffung diverser Landesgesetze zeigen die Notwendigkeit und das Bestreben auf, eine gesellschaftliche und politische Gleichstellung elementarer Bildungseinrichtungen mit anderen Bildungseinrichtungen, wie z.B. der Schule, zu erreichen. Als wesentliche Voraussetzung für diese Gleichstellung gilt das flächendeckende Angebot einer A",True,nein,Code 2.4: Abbau von Benachteiligung & Diskriminierung,
"Cluster West_Tirol, Vorarlberg, Edith Stein.pdf",8.0,Code 2.4: Abbau von Benachteiligung & Diskriminierung,Gleichstellung,"f, eine gesellschaftliche und politische Gleichstellung elementarer Bildungseinrichtungen mit anderen Bildungseinrichtungen, wie z.B. der Schule, zu erreichen. Als wesentliche Voraussetzung für diese Gleichstellung gilt das flächendeckende Angebot einer Ausbildung auf tertiärem Niveau, welche auf eine bewusst reflektierende, wissenschaftsbezogene Haltung im Berufsalltag abzielt.  Erst der Einsatz eines entsprec",True,nein,Code 2.4: Abbau von Benachteiligung & Diskriminierung,
"Cluster West_Tirol, Vorarlberg, Edith Stein.pdf",8.0,Code 2.7: Professionelle Haltung & Ethik,Haltung,"erreichen. Als wesentliche Voraussetzung für diese Gleichstellung gilt das flächendeckende Angebot einer Ausbildung auf tertiärem Niveau, welche auf eine bewusst reflektierende, wissenschaftsbezogene Haltung im Berufsalltag abzielt.  Erst der Einsatz eines entsprechend ausgebildeten Personals ermöglicht die Rückkoppelung von Erkenntnissen aus den elementaren Bildungseinrichtungen in die Forschung und ein",True,nein,Code 2.7: Professionelle Haltung & Ethik,
"Cluster West_Tirol, Vorarlberg, Edith Stein.pdf",9.0,Code 2.1: Diversität & Heterogenität,Vielfalt,"ndnis komplexer Zusammenhänge an der Schnittstelle von Ökologie, Ökonomie und Sozialem. Angesichts globaler Problemlagen bzw. Herausforderungen, wie Klimawandel, Ressourcenknappheit, Verlust der Artenvielfalt, sozialer Ungerechtigkeit und volkswirtschaftlicher Instabilität, braucht es Menschen, die hierfür Lösungen entwickeln und aktiv an einer nachhaltigen Entwicklung mitwirken. In diesem Sinne sind Aufb",True,nein,Code 2.1: Diversität & Heterogenität,
"Cluster West_Tirol, Vorarlberg, Edith Stein.pdf",9.0,Code 2.1: Diversität & Heterogenität,sozial,"ildungs- und Lernprozesse führen, ermöglicht die Auseinandersetzung mit dem Selbstverständnis der Studierenden sowie der theorie- und forschungsgeleiteten Professionalisierung ihres pädagogischen und sozialen Handelns. Bildung wird als biografischer Prozess verstanden, der sich auf die gesamte Berufsarbeitszeit bezieht und dementsprechend organisiert wird. Neben dem Erwerb konkreter Reflexions- und Hand",True,ja,Code 2.1: Diversität & Heterogenität,
"Cluster West_Tirol, Vorarlberg, Edith Stein.pdf",9.0,Code 2.1: Diversität & Heterogenität,sozial,"t. Die Lehre an den an diesem Studium beteiligten Pädagogischen Hochschulen orientiert sich an einem ganzheitlichen Verständnis komplexer Zusammenhänge an der Schnittstelle von Ökologie, Ökonomie und Sozialem. Angesichts globaler Problemlagen bzw. Herausforderungen, wie Klimawandel, Ressourcenknappheit, Verlust der Artenvielfalt, sozialer Ungerechtigkeit und volkswirtschaftlicher Instabilität, braucht e",True,ja,Code 2.1: Diversität & Heterogenität,unsicher
