pdf_name,page,code,keyword,context,position,validated,relevant,notes
PH Tirol.pdf,3,Code 2.3: Individuelle Förderung & Differenzierung,Behinderung,........................... 22 4.9.2 Durchführung der Prüfungen ........................................................................................... 22 4.10 GLEICHSTELLUNG VON STUDIERENDEN MIT BEHINDERUNG ............................................................ 22 4.11 RECHTSSCHUTZ BEI PRÜFUNGEN UND NICHTIGERKLÄRUNG VON BEURTEILUNGEN .......................... 23 4.12 VERFASSEN DER BACHELORARBEIT,3823,False,,
PH Tirol.pdf,3,Code 2.4: Abbau von Benachteiligung & Diskriminierung,Gleichstellung,............................................................... 22 4.9.2 Durchführung der Prüfungen ........................................................................................... 22 4.10 GLEICHSTELLUNG VON STUDIERENDEN MIT BEHINDERUNG ............................................................ 22 4.11 RECHTSSCHUTZ BEI PRÜFUNGEN UND NICHTIGERKLÄRUNG VON BEURTEILUNGEN .......................... 23 4,3787,False,,
PH Tirol.pdf,7,Code 2.7: Professionelle Haltung & Ethik,Haltung,"zielt weiters darauf ab, dass Absolvent*innen in ihrem Berufsumfeld Bildungskooperationen professionell gestalten können, sich mit gesellschaftlichen Entwicklungen, der eigenen beruflichen Rolle und Haltung auseinandersetzen und sich in den Bereichen Leadership, Personal-, Organisations- und Teamentwicklung professionalisieren. Den Zielen der Pädagog*innenbildung in Österreich entsprechend, wird durch d",1223,False,,
PH Tirol.pdf,8,Code 2.4: Abbau von Benachteiligung & Diskriminierung,Gleichstellung,"BildungsRahmenPlan sowie die weiteren pädagogischen Grundlagendokumente7 und die Schaffung diverser Landesgesetze zeigen die Notwendigkeit und das Bestreben auf, eine gesellschaftliche und politische Gleichstellung elementarer Bildungseinrichtungen mit anderen Bildungseinrichtungen, wie z.B. der Schule, zu erreichen. Als wesentliche Voraussetzung für diese Gleichstellung gilt das flächendeckende Angebot einer A",1998,False,,
PH Tirol.pdf,8,Code 2.4: Abbau von Benachteiligung & Diskriminierung,Gleichstellung,"f, eine gesellschaftliche und politische Gleichstellung elementarer Bildungseinrichtungen mit anderen Bildungseinrichtungen, wie z.B. der Schule, zu erreichen. Als wesentliche Voraussetzung für diese Gleichstellung gilt das flächendeckende Angebot einer Ausbildung auf tertiärem Niveau, welche auf eine bewusst reflektierende, wissenschaftsbezogene Haltung im Berufsalltag abzielt.  Erst der Einsatz eines entsprec",2157,False,,
PH Tirol.pdf,8,Code 2.7: Professionelle Haltung & Ethik,Haltung,"erreichen. Als wesentliche Voraussetzung für diese Gleichstellung gilt das flächendeckende Angebot einer Ausbildung auf tertiärem Niveau, welche auf eine bewusst reflektierende, wissenschaftsbezogene Haltung im Berufsalltag abzielt.  Erst der Einsatz eines entsprechend ausgebildeten Personals ermöglicht die Rückkoppelung von Erkenntnissen aus den elementaren Bildungseinrichtungen in die Forschung und ein",2306,False,,
PH Tirol.pdf,9,Code 2.1: Diversität & Heterogenität,Vielfalt,"ndnis komplexer Zusammenhänge an der Schnittstelle von Ökologie, Ökonomie und Sozialem. Angesichts globaler Problemlagen bzw. Herausforderungen, wie Klimawandel, Ressourcenknappheit, Verlust der Artenvielfalt, sozialer Ungerechtigkeit und volkswirtschaftlicher Instabilität, braucht es Menschen, die hierfür Lösungen entwickeln und aktiv an einer nachhaltigen Entwicklung mitwirken. In diesem Sinne sind Aufb",2005,False,,
PH Tirol.pdf,9,Code 2.3: Individuelle Förderung & Differenzierung,individuelle Lernphasen,"chen Studien ermöglichen einen individuellen Entwicklungsprozess, der auf die konkreten Anforderungen des Berufsfelds bezogen ist. Diese Prozesshaftigkeit respektiert und fördert unterschiedliche und individuelle Lernphasen und -entwicklungen von Studierenden.  Das Studium orientiert sich an wissenschaftlicher Forschung und deren Auseinandersetzung mit der Thematik. Diese wissenschaftliche Orientierung wird in der Offen",3271,False,,
PH Tirol.pdf,9,Code 2.7: Professionelle Haltung & Ethik,Werte,"nne eines ganzheitlichen Menschenbildes, das auf die Wahrung der Würde jedes einzelnen Menschen abzielt. Dahingehend wird ein ganzheitliches Bildungskonzept vertreten, das an moralischen und sozialen Werten orientiert ist und zu möglichst umfassender Entfaltung des Menschseins im Sinne einer Befähigung zu verantwortlicher Selbst- und Mitbestimmung sowie zu nachhaltiger Gestaltung der Gesellschaft beitr",2665,False,,
PH Tirol.pdf,9,Code 2.7: Professionelle Haltung & Ethik,ethisch,"die hierfür Lösungen entwickeln und aktiv an einer nachhaltigen Entwicklung mitwirken. In diesem Sinne sind Aufbau und Funktionsweisen von Ökosystemen, sozialen und ökonomischen Systemen sowie deren ethische Grundlagen und Veränderungsmöglichkeiten implizite Studieninhalte. Bildung und Erziehung bedeuten Förderung und Begleitung der Entwicklung von Kindern im Sinne eines ganzheitlichen Menschenbildes, d",2300,False,,
PH Tirol.pdf,9,Code 2.7: Professionelle Haltung & Ethik,Menschenbild,"wie deren ethische Grundlagen und Veränderungsmöglichkeiten implizite Studieninhalte. Bildung und Erziehung bedeuten Förderung und Begleitung der Entwicklung von Kindern im Sinne eines ganzheitlichen Menschenbildes, das auf die Wahrung der Würde jedes einzelnen Menschen abzielt. Dahingehend wird ein ganzheitliches Bildungskonzept vertreten, das an moralischen und sozialen Werten orientiert ist und zu möglichs",2490,False,,
PH Tirol.pdf,10,Code 2.1: Diversität & Heterogenität,kulturell,"ktiv und selbstkritisch mit ihrer eigenen Person, ihren Werten und ihrer Haltung zu Welt, Gesellschaft, zum Menschen und zum Kind auseinander. • begreifen Kindheit als Lebensphase sowie als soziales, kulturelles und gesellschaftliches Konstrukt. • haben Grundkenntnisse der sozialen und emotionalen Entwicklung von Kindern und Kleinkindern in unterschiedlichen Interaktionskonstellationen, sehen Kinder als Ko",1546,False,,
PH Tirol.pdf,10,Code 2.1: Diversität & Heterogenität,kulturell,"s Ko-Konstrukteure sowie Akteure im Denken, Handeln und Lernen und bringen dies in Verbindung mit Bildungstheorien. • eignen sich pädagogische Konzepte auf Basis von Theorien und Praktiken im Kontext kultureller Bildung an. • kennen die Prinzipien politischer Bildung und sind in der Lage, partizipations- und werteorientierte Bildungsarbeit zu gestalten. • können Modelle und Theorien kindlicher Entwicklung",1951,False,,
